epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.3417,0.70036,4.73135,0.01989,0.00348,1,0.20949,0.11523,0.69253,9.20394,0.03146,0.00028339,0.00028339,0.00028339
2,185.738,0.53968,4.40906,0.01471,0.00348,1,0.30295,0.20552,0.5142,8.89502,0.02232,0.000554569,0.000554569,0.000554569
3,277.624,0.66069,3.81048,0.01937,0.00375,1,0.44314,0.30437,0.73391,8.5455,0.03342,0.000796043,0.000796043,0.000796043
4,372.223,0.70936,3.13248,0.01989,0.67686,0.58907,0.64545,0.39744,0.80613,7.99873,0.03689,0.00100781,0.00100781,0.00100781
5,466.326,0.71051,2.73205,0.02016,0.81899,0.11899,0.5185,0.27606,0.88677,7.75011,0.04097,0.00118987,0.00118987,0.00118987
6,557.903,0.69777,2.51141,0.01916,0.62297,0.50305,0.71942,0.49825,1.06278,6.41837,0.05037,0.00125442,0.00125442,0.00125442
7,648.112,0.63972,2.24128,0.01769,0.80246,0.54765,0.72415,0.46112,1.06762,5.92677,0.0494,0.0011719,0.0011719,0.0011719
8,738.154,0.666,2.10796,0.01876,0.6468,0.64336,0.75198,0.49611,1.10218,5.05772,0.05115,0.00108938,0.00108938,0.00108938
9,830.608,0.69375,1.90998,0.01981,0.74359,0.80315,0.7554,0.4596,1.18161,4.86152,0.05476,0.00100687,0.00100687,0.00100687
10,923.188,0.66912,1.81711,0.01837,0.69185,0.6514,0.75414,0.50518,1.15363,4.40398,0.05267,0.000924352,0.000924352,0.000924352
11,1013.93,0.79571,3.54457,0.03579,0.76354,0.82818,0.82653,0.5676,1.0454,3.92901,0.04879,0.000841835,0.000841835,0.000841835
12,1103.76,0.66258,3.03029,0.02939,0.84616,0.72405,0.84729,0.57796,1.01699,3.51312,0.04742,0.000759318,0.000759318,0.000759318
13,1192.76,0.62438,2.67847,0.02744,0.75469,0.7,0.76213,0.53318,0.96671,3.35375,0.0455,0.000676802,0.000676802,0.000676802
14,1284,0.54768,2.47301,0.02349,0.89938,0.73333,0.81344,0.6201,0.77834,2.94551,0.03647,0.000594286,0.000594286,0.000594286
15,1374.58,0.4786,2.25273,0.01977,0.8411,0.71351,0.8104,0.59593,0.80818,2.88845,0.03865,0.000511769,0.000511769,0.000511769
16,1465.22,0.43327,2.14615,0.01794,0.74107,0.82986,0.81511,0.62552,0.72321,2.7964,0.03333,0.000429253,0.000429253,0.000429253
17,1555.15,0.48603,2.02387,0.02006,0.84307,0.78805,0.82645,0.63983,0.69812,2.67479,0.03181,0.000346736,0.000346736,0.000346736
18,1644.86,0.42059,1.89202,0.01764,0.82556,0.72306,0.84451,0.63867,0.68077,2.5629,0.03083,0.00026422,0.00026422,0.00026422
19,1734.92,0.39827,1.80813,0.01611,0.85453,0.72761,0.8471,0.64804,0.66739,2.52161,0.03058,0.000181703,0.000181703,0.000181703
20,3760.96,0.377,1.80373,0.01526,0.85513,0.76218,0.838,0.62948,0.6691,2.51064,0.03034,9.91865e-05,9.91865e-05,9.91865e-05
